PACKET_ID,PACKET_TYPE_Control_Packet,CONTROL_PACKET_TYPE_DIO,CONTROL_PACKET_TYPE_App1_CBR,CONTROL_PACKET_TYPE_DAO,SOURCE_ID,RECEIVER_ID,NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS_Successful,PACKET_STATUS_Collided,Class Type
434,0,0,1,0,2,6,84290378,84290378,6,1,0,0
434,0,0,1,0,2,7,84378934,84378934,0,1,0,0
434,0,0,1,0,2,8,84378949,84378949,0,1,0,0
434,0,0,1,0,2,6,84290378,84290378,6,1,0,0
434,0,0,1,0,2,7,84385623,84385623,0,1,0,0
434,0,0,1,0,2,8,84385638,84385638,0,1,0,0
434,0,0,1,0,2,6,84290378,84290378,6,1,0,0
434,0,0,1,0,2,7,84390712,84390712,0,1,0,0
434,0,0,1,0,2,8,84390724,84390724,0,1,0,0
435,0,0,1,0,2,6,84485044,84485044,6,1,0,0
435,0,0,1,0,2,7,84491412,84491412,0,1,0,0
435,0,0,1,0,2,8,84491427,84491427,0,1,0,0
435,0,0,1,0,2,6,84485044,84485044,6,1,0,0
435,0,0,1,0,2,7,84498741,84498741,0,1,0,0
435,0,0,1,0,2,8,84498756,84498756,0,1,0,0
435,0,0,1,0,2,6,84485044,84485044,6,1,0,0
435,0,0,1,0,2,7,84504470,84504470,0,1,0,0
435,0,0,1,0,2,8,84504485,84504485,0,1,0,0
435,0,0,1,0,2,6,84485044,84485044,6,1,0,0
435,0,0,1,0,2,7,84511159,84511159,0,1,0,0
435,0,0,1,0,2,8,84511174,84511174,0,1,0,0
435,0,0,1,0,2,6,84485044,84485044,6,1,0,0
435,0,0,1,0,2,7,84516888,84516888,0,1,0,0
435,0,0,1,0,2,8,84516903,84516903,0,1,0,0
435,0,0,1,0,2,6,84485044,84485044,6,1,0,0
435,0,0,1,0,2,7,84522617,84522617,0,1,0,0
435,0,0,1,0,2,8,84522632,84522632,0,1,0,0
435,0,0,1,0,2,6,84485044,84485044,6,1,0,0
435,0,0,1,0,2,7,84528026,84528026,0,1,0,0
435,0,0,1,0,2,8,84528041,84528041,0,1,0,0
435,0,0,1,0,2,6,84485044,84485044,6,1,0,0
435,0,0,1,0,2,7,84533435,84533435,0,1,0,0
435,0,0,1,0,2,8,84533450,84533450,0,1,0,0
435,0,0,1,0,2,6,84485044,84485044,6,1,0,0
435,0,0,1,0,2,7,84539804,84539804,0,1,0,0
435,0,0,1,0,2,8,84539819,84539819,0,1,0,0
435,0,0,1,0,2,6,84485044,84485044,6,1,0,0
435,0,0,1,0,2,7,84545213,84545213,0,1,0,0
435,0,0,1,0,2,8,84545228,84545228,0,1,0,0
435,0,0,1,0,2,6,84485044,84485044,6,1,0,0
435,0,0,1,0,2,7,84551262,84551262,0,1,0,0
435,0,0,1,0,2,8,84551277,84551277,0,1,0,0
