PACKET_ID,PACKET_TYPE_Control_Packet,CONTROL_PACKET_TYPE_DIO,CONTROL_PACKET_TYPE_App1_CBR,CONTROL_PACKET_TYPE_DAO,SOURCE_ID,RECEIVER_ID,NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS_Successful,PACKET_STATUS_Collided,Class Type
0,1,1,0,0,15,6,23566939,23566939,6,1,0,1
0,1,0,0,0,10,3,4249000,4249000,6,1,0,2
502,0,0,1,0,2,7,97567479,97567479,0,1,0,0
0,1,1,0,0,5,12,72095402,72095402,6,1,0,1
538,0,0,1,0,1,4,52808725,52808725,0,1,0,0
131,0,0,1,0,1,4,12902344,12902344,0,1,0,0
0,1,1,0,0,13,8,109731,109731,6,0,1,0
0,1,1,0,0,15,9,12764725,12764725,6,0,1,1
0,1,1,0,0,2,3,1892359,1892359,6,1,0,0
0,1,1,0,0,6,4,22549118,22549118,6,0,1,1
398,0,0,1,0,1,5,39012911,39012911,0,1,0,0
464,0,0,1,0,1,3,9260000,9260000,6,1,0,0
0,1,1,0,0,6,15,9952075,9952075,6,0,1,1
0,1,0,0,0,10,5,48604583,48604583,0,1,0,2
517,0,0,1,0,1,3,10320000,10320000,6,1,0,0
0,1,1,0,0,15,10,18525509,18525509,6,0,1,1
0,1,0,0,0,1,11,12735000,12735000,6,1,0,1
0,1,1,0,0,3,2,92832780,92832780,6,0,1,1
0,1,1,0,0,11,12,23520528,23520528,6,0,1,1
222,0,0,1,0,1,4,34671064,34671064,0,1,0,2
0,1,1,0,0,15,9,71976114,71976114,6,0,1,1
0,1,0,0,0,2,5,43224459,43224459,0,1,0,2
0,1,0,0,0,2,4,50154062,50154062,0,1,0,2
506,0,0,1,0,2,7,98331165,98331165,0,1,0,0
0,1,0,0,0,2,5,56475679,56475679,0,1,0,2
56,0,0,1,0,1,3,1100000,1100000,6,1,0,0
464,0,0,1,0,2,7,90208385,90208385,0,1,0,0
0,1,1,0,0,3,11,93490977,93490977,6,1,0,1
67,0,0,1,0,2,6,3083520,3083520,6,1,0,1
0,1,0,0,0,2,3,6145000,6145000,6,1,0,2
505,0,0,1,0,1,3,10080000,10080000,6,1,0,0
0,1,1,0,0,6,15,17752617,17752617,6,0,1,1
0,1,0,0,0,10,4,7765000,7765000,6,0,1,1
